Site,Taxa,LOG_GS,GS,Mean_CellDensity_cm2,n
kbs.us,Plantago_lanceolata,1.354287565,2.874,2992.125984,3
kbs.us,Silene_latifolia,1.913956866,5.779862802,3641.732283,2
kbs.us,Solidago_canadensis,1.900912783,5.692,4744.094488,9
kbs.us,Symphyotrichum_pilosum,1.613031448,4.018,5314.96063,1
konz.us,Ambrosia_psilostachya,1.918979319,5.814,19915.25424,10
konz.us,Amorpha_canescens,1.043099579,1.838,36134.6516,11
konz.us,Andropogon_gerardii,2.372017868,9.719,6120.527307,6
konz.us,Asclepias_syriaca,0.417393679,0.518,13661.41732,3
konz.us,Baptisia_australis,1.328852386,2.7767067,21377.95276,2
konz.us,Bouteloua_curtipendula,0.878381159,1.407,10946.32768,11
konz.us,Brickellia_eupatroides,1.165335921,2.207,7972.440945,8
konz.us,Dicanthelium_oligosanthes,1.174028928,2.235,16925.61205,9
konz.us,Echinaceae_angustifolia,3.369534701,28.065,6496.062992,1
konz.us,Panicum_virgatum,1.898069534,5.673,7145.669291,3
konz.us,Physalis_pumila,2.137002652,7.474,4763.779528,1
konz.us,Ruellia_humilis,2.201216599,8.036,11594.48819,2
konz.us,Salvia_azurea,1.026399955,1.791,13464.56693,7
konz.us,Schizachyrium_scoparium,1.615817519,4.032,19279.66102,1
konz.us,Solidago_altissima,1.870108436,5.489,5748.031496,2
konz.us,Sporobolus_heterolepis,1.142629174,2.135,10475.51789,1
konz.us,Symphyotrichum_oblongifolium,1.683856648,4.386288986,11397.6378,4
konz.us,Vernonia_baldwinii,1.139655951,2.125692788,2066.929134,2
spin.us,Erigeron_annuus,1.364144764,2.912375617,8451.035782,10
spin.us,Festuca_arundinacea,1.712089396,4.540525745,4803.149606,6
spin.us,Galium_aparine,0.756869696,1.131593231,3648.775895,5
spin.us,Geranium_carolinianum,1.173887319,2.234541926,6417.322835,5
spin.us,Plantago_lanceolata,1.328135447,2.774,3385.826772,6
spin.us,Poa_pratensis,2.853318916,16.34525386,9094.488189,2
spin.us,Rumex_crispus,1.74040082,4.699627491,5807.086614,1
spin.us,Silene_latifolia,2.174533682,7.798081464,6889.76378,5
spin.us,Taraxacum_officinale,1.300729411,2.67197407,8031.496063,8
spin.us,Tragopogon_dubius,1.776476612,4.909,5551.181102,3
spin.us,Trifolium_pratense,0.615185639,0.85,3661.417323,3
spin.us,Vicia_grandiflora,0.665987245,0.946411158,5472.440945,8
spin.us,Vicia_sativa,2.280260307,8.77922568,8543.307087,5
temple.us,Ambrosia_trifida,1.549561634,3.709405289,8877.952756,6
temple.us,Helianthus_annuus,2.068078895,6.909613312,7381.889764,1
temple.us,Salvia_azurea,1.007504097,1.738756805,3051.181102,5
temple.us,Schizachyrium_scoparium,1.682437038,4.37864798,17090.39548,5
temple.us,Sorghum_halepense,1.526049743,3.599969822,25236.22047,5
